949.971947	-195.243022	163035.084737	658571.783950
252.658363	-1594.406306	-543996.463645	-733043.265970
148.299284	-459.057716	-645134.925151	397204.883619
153.708307	-236.226133	-636839.798352	624180.290652
330.772516	-82.907076	-455902.345053	774011.018455
806.734885	-1345.777888	8896.779514	-488378.629051
713.413926	-1429.425690	-79584.573006	-571329.897039
661.266675	-1082.517522	-129492.145786	-226527.686309
185.090670	-1245.925365	-608823.143601	-387650.803524
1337.818829	-336.062308	547311.954140	513590.761066
